Company,Industry,Layoff Date,Ticker
LendingTree,Finance,2022-11-03,Not Found
Delivery Hero,Food,2022-11-03,DHER
Affirm,Finance,2022-11-03,
LiveRamp,Marketing,2022-11-03,RAMP
Rubius,Healthcare,2022-11-03,
Opendoor,Real Estate,2022-11-02,OPEN
Oracle,Other,2022-11-01,
Upstart,Finance,2022-11-01,
Amazon,Retail,2022-10-28,
Seagate,Hardware,2022-10-26,
MindBody,Fitness,2022-10-26,
Zillow,Real Estate,2022-10-26,Z
Philips,Healthcare,2022-10-24,PHIA
F5,Security,2022-10-21,
Volta,Transportation,2022-10-21,
Arrival,Transportation,2022-10-20,
Starry,Other,2022-10-20,
Leafly,Retail,2022-10-18,LFLY
Microsoft,Other,2022-10-17,MSFT
Beyond Meat,Food,2022-10-14,BYND
Beyond Meat,Food,2022-10-14,BYND
Salesforce,Sales,2022-10-13,CRM
Sinch,Other,2022-10-12,
HelloFresh,Food,2022-10-10,HFG
Momentive,Marketing,2022-10-10,Not Found
BioMarin,Healthcare,2022-10-07,BMRN
Peloton,Fitness,2022-10-06,
Spotify,Media,2022-10-06,Not Found
8x8,Support,2022-10-04,Not Found
Westwing,Retail,2022-09-29,
DocuSign,Sales,2022-09-28,DOCU
Volta,Transportation,2022-09-28,
Compass,Real Estate,2022-09-20,
Ouster,Transportation,2022-09-20,
LivePerson,Support,2022-09-15,TASE
Acast,Media,2022-09-15,ACAST
Twilio,Other,2022-09-14,Not Found
Netflix,Media,2022-09-14,
Rubius,Healthcare,2022-09-13,
Taboola,Marketing,2022-09-13,TBLA
Rent the Runway,Retail,2022-09-12,Not Found
BigBear.ai,Data,2022-09-08,
Uber,Transportation,2022-09-07,UBER
Sea,Consumer,2022-09-02,
Shopify,Retail,2022-09-01,SHOP
Snap,Consumer,2022-08-31,
GoodRx,Healthcare,2022-08-31,GDRX
Hippo Insurance,Finance,2022-08-31,HIPO
TCR2,Healthcare,2022-08-31,
Skillz,Consumer,2022-08-29,
Otonomo,Transportation,2022-08-28,Not Found
Okta,Security,2022-08-26,
Kogan,Retail,2022-08-23,
Wayfair,Retail,2022-08-19,W
New Relic,Infrastructure,2022-08-18,Not Found
Sema4,Healthcare,2022-08-15,
Blend,Finance,2022-08-15,
ContraFect,Healthcare,2022-08-15,
ThredUp,Retail,2022-08-15,TDUP
Peloton,Fitness,2022-08-12,
Core Scientific,Crypto,2022-08-12,Not Found
Guidewire,Finance,2022-08-11,
GoHealth,Healthcare,2022-08-09,GOCO
Nutanix,Infrastructure,2022-08-09,NTNX
Quanterix,Healthcare,2022-08-09,BIM
Wix,Marketing,2022-08-09,
Absci,Healthcare,2022-08-09,Not Found
Berkeley Lights,Healthcare,2022-08-09,
Kaltura,Media,2022-08-09,KLTR
Shift,Transportation,2022-08-09,
Sweetgreen,Food,2022-08-09,SG
Groupon,Retail,2022-08-08,
Vroom,Transportation,2022-08-08,
Warby Parker,Consumer,2022-08-08,WRBY
Perion,Marketing,2022-08-08,
Doma,Finance,2022-08-04,
10X Genomics,Healthcare,2022-08-04,TXG
RingCentral,Support,2022-08-04,RNG
Beyond Meat,Food,2022-08-03,BYND
Robinhood,Finance,2022-08-02,
Latch,Security,2022-08-02,
Butterfly Network,Healthcare,2022-08-02,
FuboTV,Media,2022-08-02,FUBO
Oracle,Other,2022-08-01,
MissFresh,Food,2022-07-29,Not Found
Laybuy,Finance,2022-07-28,
Allbirds,Retail,2022-07-28,BIRD
2U,Education,2022-07-28,
Rivian,Transportation,2022-07-27,RIVN
Shopify,Retail,2022-07-26,SHOP
Fiverr,Other,2022-07-26,
Outbrain,Marketing,2022-07-26,OB
Pear Therapeutics ,Healthcare,2022-07-25,
Owlet,Healthcare,2022-07-22,
AppGate,Security,2022-07-21,
Just Eat Takeaway,Food,2022-07-20,AEX
Lyft,Transportation,2022-07-20,LYFT
Invitae,Healthcare,2022-07-19,NVTAQ
Vimeo,Consumer,2022-07-18,VMEO
Arrival,Transportation,2022-07-13,
Babylon,Healthcare,2022-07-12,Not Found
Microsoft,Other,2022-07-12,MSFT
Twitter,Consumer,2022-07-07,Not Found
Shopify,Retail,2022-07-06,SHOP
Canoo,Transportation,2022-07-01,GOEVQ
Enjoy,Retail,2022-06-30,
Unity,Other,2022-06-29,
AppLovin,Marketing,2022-06-27,APP
UiPath,Data,2022-06-27,PATH
Cue,Healthcare,2022-06-27,
Banxa,Crypto,2022-06-27,
Netflix,Media,2022-06-23,
IronNet,Security,2022-06-22,
IronNet,Security,2022-06-22,
Sprinklr,Support,2022-06-22,Not Found
TaskUs,Support,2022-06-21,TASK
Coinbase,Crypto,2022-06-14,COIN
Redfin,Real Estate,2022-06-14,RDFN
Compass,Real Estate,2022-06-14,
Desktop Metal,Other,2022-06-13,DM
Stitch Fix,Retail,2022-06-09,SFIX
Boozt,Retail,2022-06-09,
Sonder,Travel,2022-06-08,
Cazoo,Transportation,2022-06-07,Not Found
Cazoo,Transportation,2022-06-07,Not Found
Bird,Transportation,2022-06-07,
Tesla,Transportation,2022-06-03,
TomTom,Transportation,2022-06-01,TOM2
Playtika,Consumer,2022-05-31,PLTK
SWVL,Transportation,2022-05-30,SWVL
VTEX,Retail,2022-05-26,
PayPal,Finance,2022-05-23,PYPL
Latch,Security,2022-05-20,
Skillz,Consumer,2022-05-20,
Netflix,Media,2022-05-17,
Carvana,Transportation,2022-05-10,CVNA
Doma,Finance,2022-05-10,
Latch,Security,2022-05-10,
Vroom,Transportation,2022-05-09,
Netflix,Media,2022-04-28,
Robinhood,Finance,2022-04-26,
Lemonade,Finance,2022-04-20,
Blend,Finance,2022-04-19,
Goodfood,Food,2022-04-07,FOOD
Legible,Media,2022-04-04,
Sea,Retail,2022-03-30,
Thinkific,Education,2022-03-29,
Storytel,Media,2022-03-17,Not Found
Talis Biomedical,Healthcare,2022-03-15,
Sezzle,Finance,2022-03-10,Not Found
Adaptive Biotechnologies,Healthcare,2022-03-08,
Wish,Retail,2022-03-01,
Peloton,Fitness,2022-02-08,
Root Insurance,Finance,2022-01-20,ROOT
