,Company,Industry,Layoff Date,Ticker_x,Ticker_y,Revenue Drop Before Layoff,Revenue Drop After Layoff
498,NCSoft,Consumer,2023-02-02,Not Found,Not Found,,
499,Splunk,Data,2023-02-01,Not Found,Not Found,,
500,Pinterest,Consumer,2023-02-01,Not Found,Not Found,,
501,DraftKings,Consumer,2023-02-01,DKNG,DKNG,False,True
502,Cyren,Security,2023-02-01,,,,
503,VerticalScope,Media,2023-02-01,Not Found,Not Found,,
504,Appgate,Security,2023-02-01,Not Found,Not Found,,
505,Frequency Therapeutics,Healthcare,2023-02-01,,,,
506,MariaDB,Data,2023-02-01,,,,
507,Match Group,Consumer,2023-02-01,MTCH,MTCH,,
508,Rivian,Transportation,2023-02-01,RIVN,RIVN,,
509,PayPal,Finance,2023-01-31,PYPL,PYPL,False,False
510,NetApp,Data,2023-01-31,NTAP,NTAP,True,True
511,Workday,HR,2023-01-31,,,,
512,HubSpot,Marketing,2023-01-31,HUBS,HUBS,False,False
513,Upstart,Finance,2023-01-31,,,,
514,Software AG,Data,2023-01-31,Not Found,Not Found,,
515,Wish,Retail,2023-01-31,,,,
516,Nubank,Finance,2023-01-31,NU,NU,False,False
517,National Instruments,Hardware,2023-01-31,Not Found,Not Found,,
518,OpenText,Data,2023-01-31,TSX,TSX,,
519,Philips,Healthcare,2023-01-30,PHIA,PHIA,,
520,Arrival,Transportation,2023-01-30,,,,
521,Groupon,Retail,2023-01-30,,,,
522,Intel,Hardware,2023-01-30,INTC,INTC,True,False
523,Delivery Hero,Food,2023-01-30,DHER,DHER,,
524,BM Technologies,Finance,2023-01-30,,,,
525,Quantum SI,Healthcare,2023-01-30,,,,
526,SoFi,Finance,2023-01-30,SOFI,SOFI,False,False
527,Synopsys,Other,2023-01-27,SNPS,SNPS,True,False
528,SAP,Other,2023-01-26,SAP,SAP,False,False
529,Confluent,Data,2023-01-26,CFLT,CFLT,False,False
530,Mode Global,Finance,2023-01-26,,,,
531,IBM,Hardware,2023-01-25,IBM,IBM,True,True
532,Lam Research,Hardware,2023-01-25,LRCX,LRCX,False,True
533,Guardant Health,Healthcare,2023-01-25,GH,GH,False,False
534,PagSeguro,Finance,2023-01-25,PAGS,PAGS,True,False
535,Vacasa,Travel,2023-01-24,VCSA,VCSA,True,False
536,PagerDuty,Product,2023-01-24,PD,PD,False,False
537,Spotify,Media,2023-01-23,Not Found,Not Found,,
538,Innovid,Marketing,2023-01-23,CTV,CTV,True,False
539,Yext,Marketing,2023-01-23,Not Found,Not Found,,
540,Google,Consumer,2023-01-20,GOOG,GOOG,True,False
541,Wayfair,Retail,2023-01-20,W,W,True,True
542,Capital One,Finance,2023-01-19,COF,COF,,
543,Proterra,Transportation,2023-01-19,,,,
544,WeWork ,Real Estate,2023-01-19,Not Found,,,
545,CS Disco,Legal,2023-01-19,,,,
546,Magnite,Marketing,2023-01-19,,,,
547,Personalis,Healthcare,2023-01-19,,,,
548,Wallbox,Energy,2023-01-19,WBX,WBX,False,
549,Microsoft,Other,2023-01-18,MSFT,MSFT,True,False
550,Teladoc Health,Healthcare,2023-01-18,TDOC,TDOC,False,False
551,Vroom,Transportation,2023-01-18,,,,
552,8x8,Support,2023-01-18,Not Found,Not Found,,
553,Pagaya,Finance,2023-01-18,,,,
554,Inspirato,Travel,2023-01-18,,,,
555,nCino,Finance,2023-01-18,NCNO,NCNO,False,False
556,Starry,Other,2023-01-18,,,,
557,Bally's Interactive,Consumer,2023-01-18,BALY,BALY,True,False
558,Cazoo,Transportation,2023-01-18,Not Found,Not Found,,
559,Lucid Diagnostics,Healthcare,2023-01-18,,,,
560,Redbubble,Retail,2023-01-18,Not Found,Not Found,,
561,Lightspeed Commerce,Retail,2023-01-17,TSX,TSX,,
562,Unity,Other,2023-01-17,,,,
563,RingCentral,Other,2023-01-17,RNG,RNG,False,False
564,Avaya,Other,2023-01-17,Not Found,Not Found,,
565,LiveVox,Support,2023-01-17,NICE,NICE,False,False
566,Oracle,Other,2023-01-17,,,,
567,XP,Finance,2023-01-17,,,,
568,PagBank,Finance,2023-01-16,PAGS,PAGS,True,False
569,Carvana,Transportation,2023-01-13,CVNA,CVNA,True,True
570,Lending Club,Finance,2023-01-12,LC,LC,True,True
571,Definitive Healthcare,Healthcare,2023-01-12,,,,
572,Akili Labs,Healthcare,2023-01-12,,,,
573,Life360,Consumer,2023-01-12,Not Found,Not Found,,
574,Qualtrics,Other,2023-01-11,Not Found,Not Found,,
575,HashiCorp,Security,2023-01-11,Not Found,Not Found,,
576,Coinbase,Crypto,2023-01-10,COIN,COIN,True,True
577,Informatica,Data,2023-01-10,INFA,INFA,True,False
578,Blend,Finance,2023-01-10,,,,
579,Thinkific,Education,2023-01-10,,,,
580,Fate Therapeutics,Healthcare,2023-01-09,,,,
581,Century Therapeutics,Healthcare,2023-01-09,Not Found,Not Found,,
582,Editas Medicine,Healthcare,2023-01-09,EDIT,EDIT,True,True
583,WalkMe,Other,2023-01-08,,,,
584,Cue,Healthcare,2023-01-05,,,,
585,SoundHound,Other,2023-01-05,SOUN,SOUN,True,False
586,Twitter,Consumer,2023-01-05,Not Found,Not Found,,
587,Compass,Real Estate,2023-01-05,,,,
588,Megaport,Infrastructure,2023-01-05,,,,
589,Stitch Fix,Retail,2023-01-05,SFIX,SFIX,True,True
590,TCR2,Healthcare,2023-01-05,,,,
591,Amazon,Retail,2023-01-04,,,,
592,Salesforce,Sales,2023-01-04,CRM,CRM,False,True
593,Kaltura,Media,2023-01-04,KLTR,KLTR,True,True
594,Butterfly Network,Healthcare,2023-01-04,,,,
595,Vimeo,Consumer,2023-01-04,VMEO,VMEO,True,True
596,Pegasystems,HR,2023-01-03,PEGA,PEGA,True,True
597,Amdocs,Support,2023-01-02,DOX,DOX,False,False
598,Micron,Hardware,2023-01-01,,,,
599,Bilibili,Media,2022-12-27,Not Found,Not Found,,
600,Qualcomm,Hardware,2022-12-22,QCOM,QCOM,,
601,TuSimple,Transportation,2022-12-21,TSPH,TSPH,,
602,Xiaomi,Consumer,2022-12-19,Not Found,Not Found,,
603, E Inc.,Transportation,2022-12-16,Not Found,,,
604,BigCommerce,Retail,2022-12-15,BIGC,BIGC,False,True
605,Freshworks,Support,2022-12-15,FRSH,FRSH,False,False
606,JD.ID,Retail,2022-12-14,JD,JD,True,True
607,Quanergy Systems,Transportation,2022-12-14,,,,
608,Edgio,Infrastructure,2022-12-13,Not Found,Not Found,,
609,Viant,Marketing,2022-12-13,Not Found,Not Found,,
610,Playtika,Consumer,2022-12-09,PLTK,PLTK,True,True
611,N-able Technologies,Other,2022-12-09,SWI,SWI,,
612,Otonomo,Transportation,2022-12-08,Not Found,Not Found,,
613,TechTarget,Marketing,2022-12-08,TTGT,TTGT,,False
614,Bakkt,Crypto,2022-12-08,BKKT,BKKT,True,True
615,Blue Apron,Food,2022-12-08,Not Found,Not Found,,
616,Lenovo,Hardware,2022-12-08,Not Found,Not Found,,
617,Nerdy,Education,2022-12-08,,,,
618,Doma,Finance,2022-12-06,,,,
619,Intel,Hardware,2022-12-06,INTC,INTC,True,True
620,BuzzFeed,Media,2022-12-06,BZFD,BZFD,,
621,Adobe,Marketing,2022-12-06,,,,
622,Zuora,Finance,2022-12-06,Not Found,Not Found,,
623,Thinkific,Education,2022-12-05,,,,
624,Springbig,Sales,2022-12-01,,,,
625,SQZ Biotech,Healthcare,2022-12-01,,,,
626,Synlogic,Healthcare,2022-12-01,Not Found,Not Found,,
627,DoorDash,Food,2022-11-30,DASH,DASH,False,False
628,Elastic,Data,2022-11-30,,,,
629,Pinterest,Consumer,2022-11-30,Not Found,Not Found,,
630,Codexis,Healthcare,2022-11-29,CDXS,CDXS,True,True
631,SWVL,Transportation,2022-11-23,SWVL,SWVL,,
632,Western Digital,Hardware,2022-11-22,WDC,WDC,True,True
633,Natera,Healthcare,2022-11-22,NTRA,NTRA,False,False
634,Jumia,Retail,2022-11-21,JMIA,JMIA,,
635,Carvana,Transportation,2022-11-18,CVNA,CVNA,True,True
636,Roku,Media,2022-11-17,,,,
637,Homepoint,Real Estate,2022-11-17,,,,
638,Amazon,Retail,2022-11-16,,,,
639,Cisco,Infrastructure,2022-11-16,CSCO,CSCO,False,False
640,Similarweb,Other,2022-11-16,Not Found,Not Found,,
641,Pear Therapeutics,Healthcare,2022-11-16,,,,
642,D2L,Education,2022-11-16,DTOL,DTOL,,
643,UiPath,Data,2022-11-15,PATH,PATH,True,True
644,Asana,Other,2022-11-15,,,,
645,Deliveroo Australia,Food,2022-11-15,ROO,ROO,,
646,Oatly,Food,2022-11-15,OTLY,OTLY,False,False
647,Rubicon Technologies,Other,2022-11-15,,,,
648,Tencent,Consumer,2022-11-15,Not Found,Not Found,,
649,Whispir,Other,2022-11-15,,,,
650,Illumina,Healthcare,2022-11-14,,,,
651,Sema4,Healthcare,2022-11-14,,,,
652,Science 37 ,Healthcare,2022-11-14,Not Found,,,
653,Pear Therapeutics,Healthcare,2022-11-14,,,,
654,Cardlytics,Marketing,2022-11-14,,,,
655,Tricida,Healthcare,2022-11-14,,,,
656,Offerpad,Real Estate,2022-11-11,,,,
657,GoTo Group,Transportation,2022-11-10,Not Found,Not Found,,
658,Blend,Finance,2022-11-10,,,,
659,Coinbase,Crypto,2022-11-10,COIN,COIN,True,True
660,SoundHound,Other,2022-11-10,SOUN,SOUN,False,True
661,Meta,Consumer,2022-11-09,,,,
662,Redfin,Real Estate,2022-11-09,RDFN,RDFN,True,True
663,Root Insurance,Finance,2022-11-09,ROOT,ROOT,True,True
664,Coursera,Education,2022-11-09,,,,
665,RingCentral,Other,2022-11-09,RNG,RNG,False,False
666,Spotify,Media,2022-11-09,Not Found,Not Found,,
667,EverBridge,Other,2022-11-08,Not Found,Not Found,,
668,Astra,Aerospace,2022-11-08,,,,
669,NanoString,Healthcare,2022-11-08,NSTGQ,NSTGQ,,
670,Salesforce,Sales,2022-11-07,CRM,CRM,False,True
671,Varonis,Security,2022-11-06,VRNS,VRNS,False,True
672,Twitter,Consumer,2022-11-04,Not Found,Not Found,,
673,Lyft,Transportation,2022-11-03,LYFT,LYFT,False,True
674,LendingTree,Finance,2022-11-03,Not Found,Not Found,,
675,Delivery Hero,Food,2022-11-03,DHER,DHER,,
676,Affirm,Finance,2022-11-03,,,,
677,LiveRamp,Marketing,2022-11-03,RAMP,RAMP,,
678,Rubius,Healthcare,2022-11-03,,,,
679,Opendoor,Real Estate,2022-11-02,OPEN,OPEN,True,True
680,Oracle,Other,2022-11-01,,,,
681,Upstart,Finance,2022-11-01,,,,
682,Amazon,Retail,2022-10-28,,,,
683,Seagate,Hardware,2022-10-26,,,,
684,MindBody,Fitness,2022-10-26,,,,
685,Zillow,Real Estate,2022-10-26,Z,Z,,
686,Philips,Healthcare,2022-10-24,PHIA,PHIA,,
687,F5,Security,2022-10-21,,,,
688,Volta,Transportation,2022-10-21,,,,
689,Arrival,Transportation,2022-10-20,,,,
690,Starry,Other,2022-10-20,,,,
691,Leafly,Retail,2022-10-18,LFLY,LFLY,,
692,Microsoft,Other,2022-10-17,MSFT,MSFT,True,False
693,Beyond Meat,Food,2022-10-14,BYND,BYND,True,False
694,Beyond Meat,Food,2022-10-14,BYND,BYND,True,False
695,Salesforce,Sales,2022-10-13,CRM,CRM,False,True
696,Sinch,Other,2022-10-12,,,,
697,HelloFresh,Food,2022-10-10,HFG,HFG,,
698,Momentive,Marketing,2022-10-10,Not Found,Not Found,,
